	AbxEa_9a	AbxEa_9b	AbxEa_9c	AbxEa_9d	AbxEa_9e	control_1a	control_1b	control_1c	control_1d	control_1e	Ea_2a	Ea_2b	Ea_2c	Ea_2d	Ea_2e	Ea_2f	Neg	PPE_8a	PPE_8b	PPE_8c	PPE_8d	PPE_8e	PPE_8f	PPE_8g	PPE_8h	sample1_1	sample1_10	sample1_2	sample1_3	sample1_4	sample1_5	sample1_6	sample1_7	sample1_8	sample1_9	sample2_1	sample2_10	sample2_2	sample2_3	sample2_4	sample2_5	sample2_6	sample2_7	sample2_8	sample2_9	sample3_1	sample3_10	sample3_2	sample3_3	sample3_4	sample3_5	sample3_6	sample3_7	sample3_8	sample3_9	sample4_1	sample4_10	sample4_2	sample4_3	sample4_4	sample4_5	sample4_6	sample4_7	sample4_8	sample4_9	sample5_1	sample5_10	sample5_2	sample5_3	sample5_4	sample5_5	sample5_6	sample5_7	sample5_8	sample5_9	sample6_1	sample6_10	sample6_2	sample6_3	sample6_4	sample6_5	sample6_6	sample6_7	sample6_8	sample6_9	sample7_1	sample7_10	sample7_2	sample7_3	sample7_4	sample7_5	sample7_6	sample7_7	sample7_8	sample7_9	sample8_1	sample8_10	sample8_2	sample8_3	sample8_4	sample8_5	sample8_6	sample8_7	sample8_8	sample8_9	sample9_1	sample9_10	sample9_2	sample9_3	sample9_4	sample9_5	sample9_6	sample9_7	sample9_8	sample9_9	water
e1560e5a84cf55cda6e9e1a1ad09eb07	273315.0	146834.0	128259.0	194058.0	98850.0	159793.0	188263.0	101391.0	124168.0	52210.0	130670.0	162450.0	159535.0	190200.0	210768.0	129541.0	2063.0	210293.0	119594.0	172861.0	105792.0	183819.0	244360.0	167701.0	243511.0	14548.0	226.0	33185.0	53642.0	27392.0	9256.0	37166.0	32527.0	40348.0	5725.0	2322.0	11162.0	4177.0	23434.0	3074.0	697.0	617.0	497.0	11875.0	376.0	268.0	5829.0	2544.0	4933.0	8945.0	3080.0	237.0	2886.0	7720.0	286.0	116275.0	55258.0	100503.0	48169.0	899.0	95261.0	1845.0	90130.0	98330.0	84639.0	468.0	2034.0	934.0	377.0	1071.0	511.0	359.0	436.0	456.0	398.0	36089.0	80219.0	99435.0	85306.0	65391.0	80076.0	60905.0	35651.0	42133.0	10104.0	37200.0	28450.0	54994.0	13277.0	39701.0	47027.0	688.0	29832.0	37190.0	33897.0	46420.0	80054.0	52513.0	30578.0	6683.0	22120.0	23581.0	24048.0	28168.0	29171.0	4846.0	24705.0	98577.0	92808.0	1714.0	244.0	157.0	5844.0	41245.0	58110.0	423.0
9dc299594ffefeeb80611678432c6d94	215955.0	217071.0	307656.0	197427.0	139836.0	8002.0	24113.0	15148.0	96258.0	9464.0	245424.0	194828.0	270159.0	204502.0	325629.0	260856.0	1418.0	87770.0	68064.0	76943.0	69267.0	50225.0	44639.0	25017.0	30288.0	1034.0	4921.0	13031.0	550.0	1445.0	485.0	173.0	388.0	305.0	4992.0	123017.0	8440.0	153434.0	74113.0	120926.0	110434.0	125513.0	113040.0	80772.0	130513.0	820.0	454.0	503.0	150.0	183.0	613.0	1156.0	689.0	189.0	654.0	3145.0	5797.0	114.0	10113.0	388.0	627.0	37230.0	15453.0	1013.0	993.0	1252.0	89450.0	94696.0	757.0	55982.0	11129.0	98721.0	813.0	31930.0	12951.0	20407.0	17596.0	9001.0	33694.0	33125.0	13758.0	9279.0	87899.0	92670.0	106655.0	455.0	1295.0	85.0	436.0	224.0	296.0	6149.0	210.0	384.0	1233.0	66472.0	739.0	34316.0	15175.0	54789.0	28100.0	57830.0	81214.0	36134.0	286.0	108183.0	75038.0	22385.0	40772.0	141806.0	40856.0	100791.0	106314.0	56777.0	31087.0	993.0
4434d904522c3f016aa715d906835ac9	12180.0	18203.0	22077.0	53112.0	4569.0	191636.0	185282.0	226843.0	99441.0	180299.0	9249.0	25944.0	33333.0	31115.0	20249.0	7446.0	1264.0	131362.0	50089.0	87820.0	56974.0	169856.0	195885.0	144931.0	178077.0	139750.0	49193.0	85077.0	66853.0	75459.0	88669.0	72530.0	79459.0	79139.0	34897.0	1074.0	476.0	1358.0	6825.0	864.0	10806.0	1195.0	1737.0	4264.0	1249.0	107323.0	133653.0	137553.0	97458.0	92040.0	85008.0	135829.0	126331.0	71718.0	90462.0	7897.0	51484.0	1085.0	39424.0	124.0	4272.0	3914.0	13866.0	273.0	20214.0	103566.0	50304.0	10741.0	130730.0	34942.0	82465.0	8539.0	100358.0	56518.0	61510.0	35685.0	17147.0	7343.0	574.0	1033.0	10728.0	30657.0	703.0	829.0	519.0	99825.0	71062.0	68132.0	125824.0	96271.0	84378.0	3850.0	112781.0	85435.0	130711.0	20587.0	43898.0	33460.0	53352.0	5237.0	33727.0	26245.0	40670.0	53002.0	46434.0	377.0	479.0	2853.0	13272.0	96.0	119.0	82.0	49.0	389.0	618.0	1076.0
24821bccb0c27e33310ae5c8186bb1f6	2454.0	13126.0	4621.0	4487.0	8359.0	19576.0	18875.0	44635.0	29979.0	33058.0	3243.0	4378.0	2801.0	6419.0	2890.0	3017.0	47.0	5115.0	4510.0	2245.0	2710.0	1205.0	2634.0	2261.0	1662.0	14990.0	45145.0	4442.0	1906.0	6918.0	9812.0	7990.0	2835.0	1179.0	35865.0	9412.0	94488.0	9227.0	5176.0	11480.0	8527.0	1590.0	2135.0	6486.0	16831.0	11200.0	14325.0	4748.0	4662.0	7857.0	6389.0	1529.0	2986.0	7848.0	15458.0	6968.0	4758.0	11451.0	7807.0	42163.0	7105.0	85264.0	984.0	6982.0	9539.0	11463.0	5707.0	9335.0	6728.0	735.0	1403.0	4578.0	4007.0	1179.0	847.0	1141.0	6045.0	3856.0	1323.0	805.0	900.0	4952.0	8351.0	11469.0	20652.0	7655.0	7589.0	3689.0	79.0	6534.0	4803.0	59887.0	11037.0	3410.0	498.0	13102.0	2450.0	3986.0	2845.0	17877.0	3291.0	6118.0	640.0	1764.0	2378.0	16947.0	6473.0	13151.0	662.0	12462.0	59955.0	28393.0	5971.0	13178.0	35661.0	101.0
bfc4860bab62cf6bbe43faca7fe2a938	0.0	0.0	0.0	22.0	0.0	309.0	66.0	37732.0	0.0	125961.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	31.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44eeea7c98dc3c2b2e05195dd9703238	9632.0	5186.0	4638.0	7169.0	3437.0	5642.0	6821.0	3636.0	4267.0	1699.0	4544.0	5485.0	5401.0	6817.0	7399.0	4641.0	0.0	7259.0	4106.0	5768.0	3679.0	6034.0	8257.0	5788.0	8384.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a0ddfdaea2ed74fc1b13a53b13ec2dc1	770.0	7683.0	3606.0	1792.0	6813.0	9110.0	8098.0	17776.0	18148.0	10175.0	2071.0	2951.0	1079.0	2463.0	2133.0	2010.0	0.0	3367.0	1518.0	941.0	977.0	269.0	924.0	1739.0	894.0	347.0	576.0	355.0	141.0	249.0	170.0	269.0	153.0	112.0	1100.0	258.0	1041.0	318.0	168.0	437.0	610.0	28.0	48.0	308.0	449.0	162.0	668.0	235.0	349.0	198.0	125.0	108.0	20.0	138.0	141.0	357.0	316.0	178.0	156.0	1484.0	190.0	596.0	72.0	325.0	152.0	169.0	154.0	112.0	330.0	0.0	0.0	74.0	51.0	0.0	26.0	28.0	304.0	42.0	47.0	0.0	44.0	173.0	200.0	531.0	201.0	180.0	291.0	80.0	0.0	45.0	192.0	1245.0	429.0	99.0	23.0	257.0	180.0	192.0	77.0	278.0	97.0	90.0	44.0	147.0	0.0	330.0	480.0	502.0	0.0	1075.0	688.0	432.0	206.0	642.0	457.0	0.0
367c889934739bf49542c91022a0a71c	7794.0	8123.0	11220.0	7110.0	4843.0	301.0	844.0	588.0	3307.0	344.0	8390.0	6309.0	9135.0	7302.0	11575.0	9092.0	0.0	3127.0	2426.0	2684.0	2386.0	1737.0	1579.0	858.0	1179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
350140ebba4f24c8caa9a07289db45d0	0.0	33.0	0.0	0.0	0.0	18723.0	49.0	47.0	1265.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7b9a41e0be54942148cc2167b98eaeb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	951.0	81.0	22.0	184.0	212.0	283.0	87.0	15.0	954.0	69.0	357.0	243.0	185.0	90.0	93.0	28.0	0.0	75.0	248.0	73.0	83.0	20.0	122.0	174.0	102.0	129.0	151.0	194.0	304.0	58.0	88.0	189.0	118.0	258.0	308.0	1161.0	67.0	356.0	348.0	245.0	13.0	160.0	47.0	11.0	21.0	40.0	78.0	34.0	0.0	30.0	55.0	75.0	27.0	20.0	26.0	48.0	36.0	164.0	42.0	0.0	41.0	0.0	0.0	45.0	56.0	98.0	104.0	42.0	0.0	44.0	15.0	34.0	46.0	244.0	79.0	179.0	0.0	0.0	55.0	196.0	99.0	259.0	45.0	261.0	885.0	803.0	89.0	358.0	975.0	0.0
