	Treat	Rep	Type	Concat
Strep_9a	Strep	Rep9a	RNA	RNA.Strep
Strep_9b	Strep	Rep9b	RNA	RNA.Strep
Strep_9c	Strep	Rep9c	RNA	RNA.Strep
Strep_9d	Strep	Rep9d	RNA	RNA.Strep
Strep_9e	Strep	Rep9e	RNA	RNA.Strep
control_1a	control	Rep1a	RNA	RNA.control
control_1b	control	Rep1b	RNA	RNA.control
control_1c	control	Rep1c	RNA	RNA.control
control_1d	control	Rep1d	RNA	RNA.control
control_1e	control	Rep1e	RNA	RNA.control
Ea_2a	Ea	Rep2a	RNA	RNA.Ea
Ea_2b	Ea	Rep2b	RNA	RNA.Ea
Ea_2c	Ea	Rep2c	RNA	RNA.Ea
Ea_2d	Ea	Rep2d	RNA	RNA.Ea
Ea_2e	Ea	Rep2e	RNA	RNA.Ea
Ea_2f	Ea	Rep2f	RNA	RNA.Ea
Neg	Neg	Neg	RNA	RNA.Neg
PPE_8a	PPE	Rep8a	RNA	RNA.PPE
PPE_8b	PPE	Rep8b	RNA	RNA.PPE
PPE_8c	PPE	Rep8c	RNA	RNA.PPE
PPE_8d	PPE	Rep8d	RNA	RNA.PPE
PPE_8e	PPE	Rep8e	RNA	RNA.PPE
PPE_8f	PPE	Rep8f	RNA	RNA.PPE
PPE_8g	PPE	Rep8g	RNA	RNA.PPE
PPE_8h	PPE	Rep8h	RNA	RNA.PPE
sample1_1	control	Rep1	DNA	DNA.control
sample1_10	control	Rep10	DNA	DNA.control
sample1_2	control	Rep2	DNA	DNA.control
sample1_3	control	Rep3	DNA	DNA.control
sample1_4	control	Rep4	DNA	DNA.control
sample1_5	control	Rep5	DNA	DNA.control
sample1_6	control	Rep6	DNA	DNA.control
sample1_7	control	Rep7	DNA	DNA.control
sample1_8	control	Rep8	DNA	DNA.control
sample1_9	control	Rep9	DNA	DNA.control
sample2_1	Ea	Rep1	DNA	DNA.Ea
sample2_10	Ea	Rep10	DNA	DNA.Ea
sample2_2	Ea	Rep2	DNA	DNA.Ea
sample2_3	Ea	Rep3	DNA	DNA.Ea
sample2_4	Ea	Rep4	DNA	DNA.Ea
sample2_5	Ea	Rep5	DNA	DNA.Ea
sample2_6	Ea	Rep6	DNA	DNA.Ea
sample2_7	Ea	Rep7	DNA	DNA.Ea
sample2_8	Ea	Rep8	DNA	DNA.Ea
sample2_9	Ea	Rep9	DNA	DNA.Ea
sample3_1	Pa	Rep1	DNA	DNA.Pa
sample3_10	Pa	Rep10	DNA	DNA.Pa
sample3_2	Pa	Rep2	DNA	DNA.Pa
sample3_3	Pa	Rep3	DNA	DNA.Pa
sample3_4	Pa	Rep4	DNA	DNA.Pa
sample3_5	Pa	Rep5	DNA	DNA.Pa
sample3_6	Pa	Rep6	DNA	DNA.Pa
sample3_7	Pa	Rep7	DNA	DNA.Pa
sample3_8	Pa	Rep8	DNA	DNA.Pa
sample3_9	Pa	Rep9	DNA	DNA.Pa
sample4_1	Ps	Rep1	DNA	DNA.Ps
sample4_10	Ps	Rep10	DNA	DNA.Ps
sample4_2	Ps	Rep2	DNA	DNA.Ps
sample4_3	Ps	Rep3	DNA	DNA.Ps
sample4_4	Ps	Rep4	DNA	DNA.Ps
sample4_5	Ps	Rep5	DNA	DNA.Ps
sample4_6	Ps	Rep6	DNA	DNA.Ps
sample4_7	Ps	Rep7	DNA	DNA.Ps
sample4_8	Ps	Rep8	DNA	DNA.Ps
sample4_9	Ps	Rep9	DNA	DNA.Ps
sample5_1	PaEa	Rep1	DNA	DNA.PaEa
sample5_10	PaEa	Rep10	DNA	DNA.PaEa
sample5_2	PaEa	Rep2	DNA	DNA.PaEa
sample5_3	PaEa	Rep3	DNA	DNA.PaEa
sample5_4	PaEa	Rep4	DNA	DNA.PaEa
sample5_5	PaEa	Rep5	DNA	DNA.PaEa
sample5_6	PaEa	Rep6	DNA	DNA.PaEa
sample5_7	PaEa	Rep7	DNA	DNA.PaEa
sample5_8	PaEa	Rep8	DNA	DNA.PaEa
sample5_9	PaEa	Rep9	DNA	DNA.PaEa
sample6_1	PsEa	Rep1	DNA	DNA.PsEa
sample6_10	PsEa	Rep10	DNA	DNA.PsEa
sample6_2	PsEa	Rep2	DNA	DNA.PsEa
sample6_3	PsEa	Rep3	DNA	DNA.PsEa
sample6_4	PsEa	Rep4	DNA	DNA.PsEa
sample6_5	PsEa	Rep5	DNA	DNA.PsEa
sample6_6	PsEa	Rep6	DNA	DNA.PsEa
sample6_7	PsEa	Rep7	DNA	DNA.PsEa
sample6_8	PsEa	Rep8	DNA	DNA.PsEa
sample6_9	PsEa	Rep9	DNA	DNA.PsEa
sample7_1	PaPs	Rep1	DNA	DNA.PaPs
sample7_10	PaPs	Rep10	DNA	DNA.PaPs
sample7_2	PaPs	Rep2	DNA	DNA.PaPs
sample7_3	PaPs	Rep3	DNA	DNA.PaPs
sample7_4	PaPs	Rep4	DNA	DNA.PaPs
sample7_5	PaPs	Rep5	DNA	DNA.PaPs
sample7_6	PaPs	Rep6	DNA	DNA.PaPs
sample7_7	PaPs	Rep7	DNA	DNA.PaPs
sample7_8	PaPs	Rep8	DNA	DNA.PaPs
sample7_9	PaPs	Rep9	DNA	DNA.PaPs
sample8_1	PPE	Rep1	DNA	DNA.PPE
sample8_10	PPE	Rep10	DNA	DNA.PPE
sample8_2	PPE	Rep2	DNA	DNA.PPE
sample8_3	PPE	Rep3	DNA	DNA.PPE
sample8_4	PPE	Rep4	DNA	DNA.PPE
sample8_5	PPE	Rep5	DNA	DNA.PPE
sample8_6	PPE	Rep6	DNA	DNA.PPE
sample8_7	PPE	Rep7	DNA	DNA.PPE
sample8_8	PPE	Rep8	DNA	DNA.PPE
sample8_9	PPE	Rep9	DNA	DNA.PPE
sample9_1	Strep	Rep1	DNA	DNA.Strep
sample9_10	Strep	Rep10	DNA	DNA.Strep
sample9_2	Strep	Rep2	DNA	DNA.Strep
sample9_3	Strep	Rep3	DNA	DNA.Strep
sample9_4	Strep	Rep4	DNA	DNA.Strep
sample9_5	Strep	Rep5	DNA	DNA.Strep
sample9_6	Strep	Rep6	DNA	DNA.Strep
sample9_7	Strep	Rep7	DNA	DNA.Strep
sample9_8	Strep	Rep8	DNA	DNA.Strep
sample9_9	Strep	Rep9	DNA	DNA.Strep
water	Neg	Neg	DNA	DNA.Neg
