	Kingdom	Phylum	Class	Order	Family	Genus	Species
e1560e5a84cf55cda6e9e1a1ad09eb07	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	ND
9dc299594ffefeeb80611678432c6d94	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	ND	ND
4434d904522c3f016aa715d906835ac9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	ND
24821bccb0c27e33310ae5c8186bb1f6	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	Arachis_hypogaea
bfc4860bab62cf6bbe43faca7fe2a938	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	ND
44eeea7c98dc3c2b2e05195dd9703238	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	ND
a0ddfdaea2ed74fc1b13a53b13ec2dc1	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	Arachis_hypogaea
367c889934739bf49542c91022a0a71c	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	ND	ND
350140ebba4f24c8caa9a07289db45d0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Buchnera	Puccinia_striiformis
7b9a41e0be54942148cc2167b98eaeb3	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	ND
6fac0e91c32830958a47cb0b24cf91a5	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	ND
3e1719ca8e8f9829297af520c2338002	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	ND
6c201c31cd566da0ed2ffa6a70ce1fcf	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	ND
105452bf566ab51bb27e807b3cfc932b	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	ND
9e268e60d7ece50f8292e3a8b273b982	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Buchnera	Buchnera_aphidicola
