	s201	s202	s203	s204	s205	s206	s207	s208	s209	s210	E211	E212	E213	E214	E215	E216	E217	E218	E219	E220	E221	E222	E223	E224	E225	E226	E227	E228	E229	E230	E421	E422	E423	E424	E425	E426	E427	E428	E429	E430	N501	N502	N503	N504	N505	N506	N507	W211	W212	W213	W214	W215	W216	W217	W218	W219	W220	W221	W222	W223	W224	W225	W226	W227	W228	W229	W230	W421	W422	W423	W424	W425	W426	W427	W428	W429	W430
47fbd45f80e40fdc565e816d039d24a9	63	180	111	213	41	18	49	54	39	263	130963	182559	171194	141169	76650	122523	127851	131969	142383	133381	134439	166852	184597	180957	8185	135950	101	116324	164274	134719	607	937	118434	21013	98531	1334	94720	364	46037	156782	702	227	165	441	199	25	76	194	15406	54142	161	44	118	84	32448	695	133	1237	9982	71521	69781	24213	277	2669	197	85379	7996	591	134102	341	89602	32334	228	450	954	498	239
70f645cff25d516b459fd1355622b37d	18791	27773	10186	18290	1735	29552	2408	22233	10286	19741	2856	2691	2159	2193	20589	1578	4639	1199	2721	13486	1176	1543	1012	1481	28338	1269	6168	1979	643	1362	10942	36695	19772	56140	8500	15712	13006	4064	30214	5107	0	0	0	0	0	0	0	73139	31451	21520	42969	51708	4026	12878	36402	50497	39814	39522	59956	37489	21251	13246	28892	2	8907	18756	12337	56548	4481	45521	16278	7876	41204	20198	63948	63813	11873
b4289ab0a9a00034c1fbce477b2c4ded	11	0	6	5	0	768	0	0	8	61	7094	4674	0	25	0	1364	0	0	4132	49	15	20	0	0	23	53	67784	48	0	22	0	830	28	28	12	73	46	134867	154	0	0	0	0	62	0	0	0	0	24	0	0	25149	0	0	24	0	22	13	30	0	0	11	58997	0	0	1887	0	61	0	24	0	36331	49	50604	48	0	0
43fddf1528d4a98928fd8c3a8ac23bfd	0	0	0	0	0	1702	0	0	0	0	0	0	48	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13554	0	0	0	863	0	0	12	0	0	0	0	0	0	0	0	0	0	0	13	496	185962	37257	83	7924	3933	0	0	0	8394	0	0	0	62297	2209	0	0	0	0	0	0	0	0	0	0	0
0f18144d308ada95632ab5193d92073f	0	0	0	0	0	2126	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	63164	10656	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	54116	0	0	0	24	0	17	13824	0	0	0	98413	2832	0	0	0	40	24	0	0	0	0	0	0
9af3467db68cf6063627304cecd46a65	0	0	22	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	11	0	0	19	0	0	0	26	0	38	0	119559	0	0	0	0	0	0	0	0	13	0
f37fc1dccfeba0004cbeb4f1ad6083c6	0	0	0	0	0	837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	32591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	65119
637b9b3f4d1cbb1a10c07817619cdf69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aa73d2c485650f5c8e5ba227daccb6f1	0	1380	0	420	8	261	0	0	0	379	0	0	11	10	3	0	0	0	18	10	0	7	47	0	31	0	687	4	0	0	10	10	0	7	0	9	61	0	859	0	0	0	0	0	0	0	0	51	0	14095	9	143	0	0	20	2654	854	340	9	26	3	4	79	0	9	0	10	7	0	860	0	0	172	14	0	17	4
cc761daf51f27c423da57f3f1f0ff5cc	9	0	11	0	0	1566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	550	0	65	0	0	0	0	0	0	0	0	0	0	0	0	18573	0	35	0	0	0	0	0	12	47	625	30	11	78	249	0	0	28	178	0	0	0	0	0	93	0	65	0	0
