	FloD	Treat	concat1	concat2
s201	Day0	untreat	untreat	untreat
s202	Day0	untreat	untreat	untreat
s203	Day0	untreat	untreat	untreat
s204	Day0	untreat	untreat	untreat
s205	Day0	untreat	untreat	untreat
s206	Day0	untreat	untreat	untreat
s207	Day0	untreat	untreat	untreat
s208	Day0	untreat	untreat	untreat
s209	Day0	untreat	untreat	untreat
s210	Day0	untreat	untreat	untreat
N501	Negative	Negative	Negative	Negative
W211	Day2	H20	2D2dpi	2D2dpi_H2O
W212	Day2	H20	2D2dpi	2D2dpi_H2O
W213	Day2	H20	2D2dpi	2D2dpi_H2O
W214	Day2	H20	2D2dpi	2D2dpi_H2O
W215	Day2	H20	2D2dpi	2D2dpi_H2O
W216	Day2	H20	2D2dpi	2D2dpi_H2O
W217	Day2	H20	2D2dpi	2D2dpi_H2O
W218	Day2	H20	2D2dpi	2D2dpi_H2O
W219	Day2	H20	2D2dpi	2D2dpi_H2O
W220	Day2	H20	2D2dpi	2D2dpi_H2O
N502	Negative	Negative	Negative	Negative
E211	Day2	Ea	2D2dpi	2D2dpi_Ea
E212	Day2	Ea	2D2dpi	2D2dpi_Ea
E213	Day2	Ea	2D2dpi	2D2dpi_Ea
E214	Day2	Ea	2D2dpi	2D2dpi_Ea
E215	Day2	Ea	2D2dpi	2D2dpi_Ea
E216	Day2	Ea	2D2dpi	2D2dpi_Ea
E217	Day2	Ea	2D2dpi	2D2dpi_Ea
E218	Day2	Ea	2D2dpi	2D2dpi_Ea
E219	Day2	Ea	2D2dpi	2D2dpi_Ea
E220	Day2	Ea	2D2dpi	2D2dpi_Ea
N503	Negative	Negative	Negative	Negative
W221	Day2	H20	2D4dpi	2D4dpi_H2O
W222	Day2	H20	2D4dpi	2D4dpi_H2O
W223	Day2	H20	2D4dpi	2D4dpi_H2O
W224	Day2	H20	2D4dpi	2D4dpi_H2O
W225	Day2	H20	2D4dpi	2D4dpi_H2O
W226	Day2	H20	2D4dpi	2D4dpi_H2O
W227	Day2	H20	2D4dpi	2D4dpi_H2O
W228	Day2	H20	2D4dpi	2D4dpi_H2O
W229	Day2	H20	2D4dpi	2D4dpi_H2O
W230	Day2	H20	2D4dpi	2D4dpi_H2O
N504	Negative	Negative	Negative	Negative
E221	Day2	Ea	2D4dpi	2D4dpi_Ea
E222	Day2	Ea	2D4dpi	2D4dpi_Ea
E223	Day2	Ea	2D4dpi	2D4dpi_Ea
E224	Day2	Ea	2D4dpi	2D4dpi_Ea
E225	Day2	Ea	2D4dpi	2D4dpi_Ea
E226	Day2	Ea	2D4dpi	2D4dpi_Ea
E227	Day2	Ea	2D4dpi	2D4dpi_Ea
E228	Day2	Ea	2D4dpi	2D4dpi_Ea
E229	Day2	Ea	2D4dpi	2D4dpi_Ea
E230	Day2	Ea	2D4dpi	2D4dpi_Ea
N505	Negative	Negative	Negative	Negative
W421	Day4	H20	4D2dpi	4D2dpi_H2O
W422	Day4	H20	4D2dpi	4D2dpi_H2O
W423	Day4	H20	4D2dpi	4D2dpi_H2O
W424	Day4	H20	4D2dpi	4D2dpi_H2O
W425	Day4	H20	4D2dpi	4D2dpi_H2O
W426	Day4	H20	4D2dpi	4D2dpi_H2O
W427	Day4	H20	4D2dpi	4D2dpi_H2O
W428	Day4	H20	4D2dpi	4D2dpi_H2O
W429	Day4	H20	4D2dpi	4D2dpi_H2O
W430	Day4	H20	4D2dpi	4D2dpi_H2O
N506	Negative	Negative	Negative	Negative
E421	Day4	Ea	4D2dpi	4D2dpi_Ea
E422	Day4	Ea	4D2dpi	4D2dpi_Ea
E423	Day4	Ea	4D2dpi	4D2dpi_Ea
E424	Day4	Ea	4D2dpi	4D2dpi_Ea
E425	Day4	Ea	4D2dpi	4D2dpi_Ea
E426	Day4	Ea	4D2dpi	4D2dpi_Ea
E427	Day4	Ea	4D2dpi	4D2dpi_Ea
E428	Day4	Ea	4D2dpi	4D2dpi_Ea
E429	Day4	Ea	4D2dpi	4D2dpi_Ea
E430	Day4	Ea	4D2dpi	4D2dpi_Ea
N507	Negative	Negative	Negative	Negative
