	Domain	Phylum	Class	Order	Family	Genus	Species	Select
2a3f60e89133d889f46278f39492a8a1	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	1	ND	NP
e00254c81e0e58719fdcd510482c7e80	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	1	ND	NP
f2f98efb0a16e8e8b4a1a718b69b9e28	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	1	ND	NP
dac5dc32cf0fe84d6d71f8b73c122e34	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	ND	NP
749b7f1fd4761f64829cfd1fa6b508bd	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	ND	NP
e9809530432121a23c7850ba68414301	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	Bdellovibrionales_bacterium	NP
90f44084459949dd4fd965e1fc355026	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	ND	NP
90191597459e307ec25618c20b93ada6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	ND	NP
664d93dad211871f5a8df1ede084dc26	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	ND	NP
be551bbbd4338c02c8c1a410790f3e20	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	ND	NP
986f4bd7a63a794c4d278539ee14a728	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	ND	NP
909bc2a7c08764ed4b4258ba8e3a975b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	ND	NP
c0fa03e561b9d7283ecc6187304850a0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	ND	NP
6bd15350f78fd79a77e542b0f9682247	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	ND	NP
3b6da35ae50f65e0330ac7a4f2a35a7c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	Rhizobiales_bacterium	NP
1cda9c511fb9294e8a6ea668218a0461	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	Rhizobiales_bacterium	NP
f5fdef588e8f7804da524a14e70189eb	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	Rhizobium_sp.	NP
f8ec009ea7d958c2429fc4d8931f6c25	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium	NP
e95b4277f9caf56d3660e6b3d08eec7d	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium	NP
3d36976c0e4d8e3c479244e5a46e1e40	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium	NP
b439d77cd049f67634ac7275dbe1c245	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium	NP
9d762c2cbb88653a33df8adc223c1e07	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium	NP
a9d356a404df17e77a532dbd22787d70	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium	NP
73eb8fa8648db35bd2f286bbbe6791da	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium	NP
afa7b4107329557b2f69106c3cf03c85	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium	NP
10e1437d7e45b437cff26979e001e068	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium	NP
031be5d338fd857a53c7e27f41528745	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium	NP
