	prot_fam	ko_term	Descript	Up-Ea
s001	genetic_information_processing	ko03110	Chaperones_and_folding_catalysts	4
s002	genetic_information_processing	ko03009	Ribosome_biogenesis	3
s003	genetic_information_processing	ko03000	Transcription_factors	3
s004	genetic_information_processing	ko03400	DNA_repair_and_recombination_proteins	2
s005	genetic_information_processing	ko03029	Mitochondrial_biogenesis	2
s006	genetic_information_processing	ko03019	Messenger_RNA_biogenesis	2
s007	genetic_information_processing	ko03011	Ribosome	2
s008	genetic_information_processing	ko03036	Chromosome_and_associated_proteins	1
s009	genetic_information_processing	ko03032	DNA_replication_proteins	1
s010	genetic_information_processing	ko03021	Transcription_machinery	1
s011	genetic_information_processing	ko03012	Translation_factors	1
s012	metabolism	ko01000	Enzymes	7
s013	metabolism	ko01011	Peptidoglycan_biosynthesis_and_degradation_proteins	1
s014	signaling_cellular_processes	ko02048	Prokaryotic_defense_system	2
s015	signaling_cellular_processes	ko02000	Transporters	2
s016	signaling_cellular_processes	ko02022	Two-component_system	1
s017	not_determined	ND	ND	18
