	prot_fam	ko_term	Descript	Down-Pa
s001	metabolism	ko01000	Enzymes	89
s002	metabolism	ko01001	Protein_kinases	1
s003	metabolism	ko01009	Protein_phosphatases_and_associated_proteins	2
s004	metabolism	ko01002	Peptidases_and_inhibitors	7
s005	metabolism	ko01011	Peptidoglycan_biosynthesis_and_degradation_proteins	2
s006	metabolism	ko01004	Lipid_biosynthesis_proteins	4
s007	metabolism	ko01006	Prenyltransferases	1
s008	metabolism	ko01007	Amino_acid_related_enzymes	5
s009	genetic_information_processing	ko03000	Transcription_factors	7
s010	genetic_information_processing	ko03011	Ribosome	5
s011	genetic_information_processing	ko03009	Ribosome_biogenesis	3
s012	genetic_information_processing	ko03016	Transfer_RNA_biogenesis	9
s013	genetic_information_processing	ko03012	Translation_factors	1
s014	genetic_information_processing	ko03110	Chaperones_and_folding_catalysts	4
s015	genetic_information_processing	ko04131	Membrane_trafficking	1
s016	genetic_information_processing	ko03051	Proteasome	1
s017	genetic_information_processing	ko03032	DNA_replication_proteins	3
s018	genetic_information_processing	ko03036	Chromosome_and_associated_proteins	4
s019	genetic_information_processing	ko03400	DNA_repair_and_recombination_proteins	4
s020	genetic_information_processing	ko03029	Mitochondrial_biogenesis	6
s021	signaling_cellular_processes	ko02000	Transporters	34
s022	signaling_cellular_processes	ko02044	Secretion_system	6
s023	signaling_cellular_processes	ko02022	Two-component_system	3
s024	signaling_cellular_processes	ko02035	Bacterial_motility_proteins	20
s025	signaling_cellular_processes	ko04812	Cytoskeleton_proteins	1
s026	signaling_cellular_processes	ko04147	Exosome	3
s027	signaling_cellular_processes	ko01504	Antimicrobial_resistance_genes	4
s028	signaling_cellular_processes	ko00536	Glycosaminoglycan_binding_proteins	1
s029	not_determined	ND	ND	184
