	prot_fam	ko_term	Descript	Up-Pa
s001	metabolism	ko01000	Enzymes	48
s002	metabolism	ko01001	Protein_kinases	1
s003	metabolism	ko01002	Peptidases_and_inhibitors	4
s004	metabolism	ko01005	Lipopolysaccharide_biosynthesis_proteins	2
s005	metabolism	ko01011	Peptidoglycan_biosynthesis_and_degradation_proteins	3
s006	metabolism	ko01008	Polyketide_biosynthesis_proteins	1
s007	genetic_information_processing	ko03000	Transcription_factors	14
s008	genetic_information_processing	ko03021	Transcription_machinery	1
s009	genetic_information_processing	ko03009	Ribosome_biogenesis	1
s010	genetic_information_processing	ko03016	Transfer_RNA_biogenesis	2
s011	genetic_information_processing	ko03110	Chaperones_and_folding_catalysts	1
s012	genetic_information_processing	ko03036	Chromosome_and_associated_proteins	6
s013	genetic_information_processing	ko03400	DNA_repair_and_recombination_proteins	2
s014	signaling_cellular_processes	ko02000	Transporters	17
s015	signaling_cellular_processes	ko02044	Secretion_system	11
s016	signaling_cellular_processes	ko02022	Two-component_system	2
s017	signaling_cellular_processes	ko02035	Bacterial_motility_proteins	1
s018	signaling_cellular_processes	ko04147	Exosome	3
s019	signaling_cellular_processes	ko02048	Prokaryotic_defense_system	10
s020	signaling_cellular_processes	ko01504	Antimicrobial_resistance_genes	3
s021	not_determined 	ND	ND	113
