	prot_fam	ko_term	Descript	Down-Ps
s001	metabolism	ko01000	Enzymes	74
s002	metabolism	ko01009	Protein_phosphatases_and_associated_proteins	1
s003	metabolism	ko01002	Peptidases_and_inhibitors	1
s004	metabolism	ko01003	Glycosyltransferases	1
s005	metabolism	ko01005	Lipopolysaccharide_biosynthesis_proteins	1
s006	metabolism	ko01011	Peptidoglycan_biosynthesis_and_degradation_proteins	7
s007	metabolism	ko01006	Prenyltransferases	1
s008	genetic_information_processing	ko03000	Transcription_factors	7
s009	genetic_information_processing	ko03019	Messenger_RNA_biogenesis	1
s010	genetic_information_processing	ko03009	Ribosome_biogenesis	2
s011	genetic_information_processing	ko03016	Transfer_RNA_biogenesis	1
s012	genetic_information_processing	ko03110	Chaperones_and_folding_catalysts	5
s013	genetic_information_processing	ko03032	DNA_replication_proteins	2
s014	genetic_information_processing	ko03036	Chromosome_and_associated_proteins	4
s015	genetic_information_processing	ko03400	DNA_repair_and_recombination_proteins	4
s016	genetic_information_processing	ko03029	Mitochondrial_biogenesis	5
s017	signaling_cellular_processes	ko02000	Transporters	16
s018	signaling_cellular_processes	ko02044	Secretion_system	6
s019	signaling_cellular_processes	ko02042	Bacterial_toxins	1
s020	signaling_cellular_processes	ko02022	Two-component_system	1
s021	signaling_cellular_processes	ko02035	Bacterial_motility_proteins	6
s022	signaling_cellular_processes	ko04812	Cytoskeleton_proteins	2
s023	signaling_cellular_processes	ko04147	Exosome	4
s024	signaling_cellular_processes	ko02048	Prokaryotic_defense_system	2
s025	not_determined	ND	ND	119
