	prot_fam	ko_term	Descript	Up-Ps
s001	metabolism	ko01000	Enzymes	56
s002	metabolism	ko01009	Protein_phosphatases_and_associated_proteins	1
s003	metabolism	ko01002	Peptidases_and_inhibitors	1
s004	metabolism	ko01003	Glycosyltransferases	1
s005	metabolism	ko01005	Lipopolysaccharide_biosynthesis_proteins	1
s006	metabolism	ko01011	Peptidoglycan_biosynthesis_and_degradation_proteins	1
s007	metabolism	ko01008	Polyketide_biosynthesis_proteins	1
s008	metabolism	ko01006	Prenyltransferases	1
s009	metabolism	ko01007	Amino_acid_related_enzymes	5
s010	metabolism	ko00194	Photosynthesis_proteins	2
s011	genetic_information_processing	ko03000	Transcription_factors	5
s012	genetic_information_processing	ko03021	Transcription_machinery	3
s013	genetic_information_processing	ko03019	Messenger_RNA_biogenesis	3
s014	genetic_information_processing	ko03011	Ribosome	24
s015	genetic_information_processing	ko03009	Ribosome_biogenesis	4
s016	genetic_information_processing	ko03016	Transfer_RNA_biogenesis	5
s017	genetic_information_processing	ko03012	Translation_factors	1
s018	genetic_information_processing	ko03110	Chaperones_and_folding_catalysts	3
s019	genetic_information_processing	ko03032	DNA_replication_proteins	1
s020	genetic_information_processing	ko03036	Chromosome_and_associated_proteins	7
s021	genetic_information_processing	ko03400	DNA_repair_and_recombination_proteins	4
s022	genetic_information_processing	ko03029	Mitochondrial_biogenesis	4
s023	signaling_cellular_processes	ko02000	Transporters	19
s024	signaling_cellular_processes	ko02044	Secretion_system	6
s025	signaling_cellular_processes	ko02022	Two-component_system	1
s026	signaling_cellular_processes	ko02035	Bacterial_motility_proteins	2
s027	signaling_cellular_processes	ko04812	Cytoskeleton_proteins	4
s028	signaling_cellular_processes	ko04147	Exosome	2
s029	signaling_cellular_processes	ko02048	Prokaryotic_defense_system	2
s030	signaling_cellular_processes	ko01504	Antimicrobial_resistance_genes	1
s031	signaling_cellular_processes	ko00537	Glycosylphosphatidylinositol_GPI-anchored_proteins	1
s032	not_determined	ND	ND	91
