	Id	strain	coCulture	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO_term
s1543	Ps_04349	Ps	coEaPa	9612.74845053759	-1.50121579403544	0.28924240909595	-5.19016488186364	2.10E-07	1.76E-06	K07238
s1457	Ps_01847	Ps	coEaPa	1054.79263432976	1.59732049064267	0.284079378408865	5.62	1.88E-08	2.13E-07	K16074
s0382	Pa_02488	Pa	coEa	486.186461979986	2.27564532123832	0.341563640912617	6.66243431285038	2.69E-11	1.65E-09	K09817
s0618	Pa_02488	Pa	coPs	315.015491895798	2.19799003038053	0.44467698494983	4.94289136782853	7.70E-07	2.85E-05	K09817
s1132	Pa_02488	Pa	coEaPs	161.821878439505	1.81118950403034	0.296990571223113	6.09847476494359	1.07E-09	1.71E-08	K09817
s0325	Pa_01972	Pa	coEa	172.700586869294	1.77560808616682	0.352470356461234	5.03760969856798	4.71E-07	6.51E-06	K23779
s1087	Pa_01972	Pa	coEaPs	71.0378782760081	1.65279383800743	0.370386504610505	4.4623489717734	8.11E-06	5.62E-05	K23779
s0132	Pa_00029	Pa	coEa	87.9286270083161	-1.63791461232578	0.303962624521135	-5.3885395117448	7.10E-08	1.31E-06	K16345
s0871	Pa_00029	Pa	coEaPs	36.1414714046755	-1.9663455621417	0.37309225496441	-5.27040037946989	1.36E-07	1.44E-06	K16345
s1401	Ps_02595	Ps	coEaPa	1109.42925695544	-1.87445059021569	0.377602352877032	-4.96408609727629	6.90E-07	5.12E-06	K11178
s1271	Ps_02594	Ps	coPa	5475.92024212561	-2.49349929016772	0.615939812551563	-4.05	5.16E-05	0.004420436185857	K11177
s1348	Ps_02594	Ps	coEaPa	6800.91335338995	-3.20450514206547	0.409967627134928	-7.82	5.43E-15	2.46E-13	K11177
s1375	Ps_01819	Ps	coEaPa	7315.05005617544	-2.20829414299964	0.37008809200563	-5.97	2.42E-09	3.41E-08	K13482
s1355	Ps_01820	Ps	coEaPa	1649.28193745455	-2.71386201910766	0.338249038631635	-8.02	1.03E-15	5.75E-14	K07402
s0318	Pa_02685	Pa	coEa	48.8518229276193	1.70501948415799	0.379656221471718	4.49095625918778	7.09E-06	6.97E-05	K18234
s0576	Pa_02685	Pa	coPs	31.9277401881095	1.60777832442652	0.43636517751223	3.68447898063877	0.000229170935511	0.003485875743399	K18234
s1139	Pa_02685	Pa	coEaPs	23.0342420865699	1.83615985953401	0.376461982278353	4.87741112242344	1.07E-06	9.05E-06	K18234
s0982	Pa_00393	Pa	coEaPs	269.651270034903	-1.61258631769454	0.269604317667758	-5.98130746437742	2.21E-09	3.29E-08	K01873
s0922	Pa_02837	Pa	coEaPs	79.3258454210638	-1.79295711977022	0.287067712778672	-6.24576376916543	4.22E-10	7.48E-09	K00963
s1453	Ps_02978	Ps	coEaPa	138.102024868339	1.57834201590088	0.37433134948694	4.21643022435647	2.48E-05	0.000117158488896	K07043
s0298	Pa_00268	Pa	coEa	270.991264615562	1.58288143976805	0.307296790069205	5.15098592279984	2.59E-07	3.94E-06	K07113
s1479	Ps_01515	Ps	coEaPa	440.26926873176	1.73935559489109	0.361506403552957	4.81	1.50E-06	9.95E-06	K07146
s0016	Ea_03202	Ea	coPaPs	6.01216861195174	-4.17662412510002	1.20396664537625	-3.46905301832077	0.000522296371626	0.005311394847963	K09898
s0057	Ea_03094	Ea	coPaPs	744.887679985188	1.61216212706793	0.347445297298879	4.64004589960277	3.48E-06	0.000101438442799	K09908
s0060	Ea_02095	Ea	coPaPs	501.787864961995	1.6290338233074	0.275707957480025	5.90854844450914	3.45E-09	4.74E-07	K09802
s0196	Pa_00621	Pa	coEa	18.4468796925265	-1.92526938562519	0.419755343510641	-4.58664652014461	4.50E-06	4.75E-05	K09910
s0219	Pa_02341	Pa	coEa	6.98625129166777	-2.07061068308997	0.739013456906548	-2.80185788734806	5.08E-03	0.018550836202299	K09780
s0468	Pa_01018	Pa	coPs	20890.7169300561	-3.01347290500271	0.633184701049427	-4.75923202188594	1.94E-06	6.36E-05	K09961
s0507	Pa_02023	Pa	coPs	108.739736205365	-2.25769053632109	0.543490674252277	-4.15405570560558	3.27E-05	0.000651784574755	K06904
s0787	Pa_01018	Pa	coEaPs	11781.4330712972	-2.40043461740013	0.269844863095346	-8.89560983249836	5.81E-19	3.37E-17	K09961
s0843	Pa_00621	Pa	coEaPs	7.8961313926683	-2.10302971428545	0.655206475829713	-3.20972058712073	0.001328640568686	0.004916143329768	K09910
s0945	Pa_02023	Pa	coEaPs	63.4302028415572	-1.7108337050683	0.355998149341375	-4.80573763721377	1.54E-06	1.25E-05	K06904
s1070	Pa_01411	Pa	coEaPs	22.6310415054786	1.61229678529876	0.413921678632496	3.89517357637665	9.81E-05	0.000509119729088	K09911
s1072	Pa_02398	Pa	coEaPs	17.8302780810621	1.61976027422382	0.436188200662806	3.71344358183585	0.000204458060858	0.000968701129743	K09902
s1266	Ps_05579	Ps	coPa	314.110839768212	-2.67495849625673	0.71768221316049	-3.73	0.000194	0.011749374782717	K06884
s1269	Ps_05580	Ps	coPa	33.1879179845952	-2.56702638930862	0.653082956283816	-3.93	8.47E-05	0.006670512852327	K06884
s1392	Ps_02852	Ps	coEaPa	6716.23019116413	-1.97848821616477	0.331503050962905	-5.96823531613941	2.40E-09	3.40E-08	K09786
s1398	Ps_00764	Ps	coEaPa	189.417931897804	-1.90189259533354	0.331447501713507	-5.74	9.57E-09	1.18E-07	K07044
s1424	Ps_02610	Ps	coEaPa	2544.55552510567	-1.58375127831741	0.303444625206231	-5.22	1.80E-07	1.54E-06	K07054
s1431	Ps_02679	Ps	coEaPa	1106.02115991556	-1.52779810231057	0.278932426849738	-5.47730545195307	4.32E-08	4.37E-07	K07157
s1436	Ps_01936	Ps	coEaPa	281.369617457357	1.50269295690484	0.247551528586961	6.07	1.28E-09	1.97E-08	K09986
s1444	Ps_01743	Ps	coEaPa	259.397802827829	1.52406155553746	0.289161684359018	5.27	1.36E-07	1.22E-06	K00243
s1499	Ps_00641	Ps	coEaPa	177.923974587061	1.8810996239055	0.409851512091777	4.59	4.44E-06	2.55E-05	K06996
s1508	Ps_01729	Ps	coEaPa	197.445043867865	1.98879281582223	0.329765927209699	6.03	1.63E-09	2.44E-08	K09912
s1509	Ps_01689	Ps	coEaPa	25.4763582024313	1.99365521044213	0.460812829558709	4.33	1.52E-05	7.53E-05	K09790
s1519	Ps_02404	Ps	coEaPa	20.1064202412844	2.05020274704757	0.449541459872974	4.56065331021279	5.10E-06	2.85E-05	K09948
s1539	Ps_01517	Ps	coEaPa	895.701120903708	2.75811577163395	0.340899494301404	8.09	5.93E-16	3.59E-14	K09924
s1649	Ps_05563	Ps	coEaPa	4188.22990565087	-2.36804070583273	0.519826956349673	-4.55544037666222	5.23E-06	2.91E-05	K06884
s1668	Ps_04781	Ps	coEaPa	4634.32792771005	-2.51214375942655	0.378664370406158	-6.6342226936535	3.26E-11	7.76E-10	K06953
s1695	Ps_05580	Ps	coEaPa	37.4198892547329	-3.12562684720911	0.538837528405075	-5.800685146153	6.60E-09	8.48E-08	K06884
s1704	Ps_05579	Ps	coEaPa	413.043287652379	-3.47409965210338	0.398553796172825	-8.71676467634726	2.86E-18	2.60E-16	K06884
s1801	Ps_04201	Ps	coEaPa	12.4987821085955	2.32108683790638	0.543326182665439	4.27199518808322	1.94E-05	9.36E-05	K06940
s1669	Ps_04417	Ps	coEaPa	8831.40741310252	-2.51800389228421	0.301043014887034	-8.36426612731435	6.05E-17	4.18E-15	K01925
s1626	Ps_04413	Ps	coEaPa	7606.42643355854	-2.08484198449305	0.274182142878824	-7.60385764952774	2.87E-14	1.21E-12	K01928
s1683	Ps_04420	Ps	coEaPa	12901.7103037011	-2.72307099958964	0.329140257941525	-8.27328451590819	1.30E-16	8.22E-15	K01924
