	Id	KO	KO_definition
s1	Ea_00001	K06205	MioC_protein
s2	Ea_00002	K03718	Lrp/AsnC_family_transcriptional_regulator,_regulator_for_asnA,_asnC_and_gidA
s3	Ea_00005	K03924	MoxR-like_ATPase_[EC:3.6.3.-]
s4	Ea_00006	K03549	KUP_system_potassium_uptake_protein
s5	Ea_00011	K21757	LysR_family_transcriptional_regulator,_benzoate_and_cis,cis-muconate-responsive_activator_of_ben_and_cat_genes
s6	Ea_00012	K01575	acetolactate_decarboxylase_[EC:4.1.1.5]
s7	Ea_00014	K06726	D-ribose_pyranase_[EC:5.4.99.62]
s8	Ea_00015	K10441	ribose_transport_system_ATP-binding_protein_[EC:7.5.2.7]
s9	Ea_00016	K10440	ribose_transport_system_permease_protein
s10	Ea_00016	K02057	simple_sugar_transport_system_permease_protein
s11	Ea_00017	K10439	ribose_transport_system_substrate-binding_protein
s12	Ea_00018	K00852	ribokinase_[EC:2.7.1.15]
s13	Ea_00019	K02529	LacI_family_transcriptional_regulator_
s14	Ea_00020	K18326	MFS_transporter,_DHA2_family,_multidrug_resistance_protein
s15	Ea_00026	K03752	molybdenum_cofactor_guanylyltransferase_[EC:2.7.7.77]_
s16	Ea_00029	K03673	protein_dithiol_oxidoreductase_(disulfide-forming)_[EC:1.8.4.15]
s17	Ea_00030	K02335	DNA_polymerase_I_[EC:2.7.7.7]_
s18	Ea_00031	K03978	GTP-binding_protein
s19	Ea_00032	K09894	uncharacterized_protein
s20	Ea_00033	K02495	oxygen-independent_coproporphyrinogen_III_oxidase_[EC:1.3.98.3]
s21	Ea_00034	K07712	two-component_system,_NtrC_family,_nitrogen_regulation_response_regulator_GlnG
s22	Ea_00034	K07714	two-component_system,_NtrC_family,_response_regulator_AtoC
s23	Ea_00035	K07708	two-component_system,_NtrC_family,_nitrogen_regulation_sensor_histidine_kinase_GlnL_[EC:2.7.13.3]
s24	Ea_00036	K01915	glutamine_synthetase_[EC:6.3.1.2]
s25	Ea_00037	K06207	GTP-binding_protein
s26	Ea_00038	K20866	glucose-1-phosphatase_[EC:3.1.3.10]
s27	Ea_00039	K07058	membrane_protein
s28	Ea_00040	K07560	D-aminoacyl-tRNA_deacylase_[EC:3.1.1.96]
s29	Ea_00042	K06182	23S_rRNA_pseudouridine2604_synthase_[EC:5.4.99.21]
s30	Ea_00044	K16345	xanthine_permease_XanP
s31	Ea_00045	K03655	ATP-dependent_DNA_helicase_RecG_[EC:5.6.2.4]
s32	Ea_00046	K00556	tRNA_(guanosine-2'-O-)-methyltransferase_[EC:2.1.1.34]
s33	Ea_00047	K01139	GTP_diphosphokinase_/_guanosine-3',5'-bis(diphosphate)_3'-diphosphatase_[EC:2.7.6.5_3.1.7.2]
s34	Ea_00048	K03060	DNA-directed_RNA_polymerase_subunit_omega_[EC:2.7.7.6]
s35	Ea_00049	K00942	guanylate_kinase_[EC:2.7.4.8]
s36	Ea_00050	K01972	DNA_ligase_(NAD+)_[EC:6.5.1.2]_
s37	Ea_00052	K07687	two-component_system,_NarL_family,_captular_synthesis_response_regulator_RcsB
s38	Ea_00054	K06193	protein_PhnA
s39	Ea_00057	K00986	RNA-directed_DNA_polymerase_[EC:2.7.7.49]_
s40	Ea_00061	K07483	transposase
s41	Ea_00062	K07497	putative_transposase
s42	Ea_00067	K00558	DNA_(cytosine-5)-methyltransferase_1.00E+00_[EC:2.1.1.37]_
s43	Ea_00068	K07452	5-methylcytosine-specific_restriction_enzyme_B_[EC:3.1.21.-]
s44	Ea_00069	K19147	5-methylcytosine-specific_restriction_enzyme_subunit_McrC
s45	Ea_00073	K11535	nucleoside_transport_protein
s46	Ea_00074	K00989	ribonuclease_PH_[EC:2.7.7.56]
s47	Ea_00075	K00762	orotate_phosphoribosyltransferase_[EC:2.4.2.10]
s48	Ea_00076	K05501	TetR/AcrR_family_transcriptional_regulator_
s49	Ea_00077	K01520	dUTP_pyrophosphatase_[EC:3.6.1.23]
s50	Ea_00078	K13038	phosphopantothenoylcysteine_decarboxylase_/_phosphopantothenate---cysteine_ligase_[EC:4.1.1.36_6.3.2.5]
s51	Ea_00080	K03630	DNA_repair_protein_RadC_
s52	Ea_00081	K02902	large_subunit_ribosomal_protein_L28
s53	Ea_00082	K02913	large_subunit_ribosomal_protein_L33
s54	Ea_00083	K10563	formamidopyrimidine-DNA_glycosylase_[EC:3.2.2.23_4.2.99.18]_
s55	Ea_00084	K00954	pantetheine-phosphate_adenylyltransferase_[EC:2.7.7.3]
s56	Ea_00085	K12984	(heptosyl)LPS_beta-1,4-glucosyltransferase_[EC:2.4.1.-]
s57	Ea_00086	K02527	3-deoxy-D-manno-octulosonic-acid_transferase_[EC:2.4.99.12_2.4.99.13_2.4.99.14_2.4.99.15]
s58	Ea_00089	K02844	UDP-glucose:(heptosyl)LPS_alpha-1,3-glucosyltransferase_[EC:2.4.1.-]
s59	Ea_00090	K02849	heptosyltransferase_III_[EC:2.4.-.-]
s60	Ea_00096	K02841	heptosyltransferase_I_[EC:2.4.-.-]
s61	Ea_00097	K02843	heptosyltransferase_II_[EC:2.4.-.-]
s62	Ea_00098	K03274	ADP-L-glycero-D-manno-heptose_6-epimerase_[EC:5.1.3.20]
s63	Ea_00099	K09798	uncharacterized_protein
s64	Ea_00100	K22719	murein_hydrolase_activator
s65	Ea_00102	K03676	glutaredoxin_3
s66	Ea_00103	K03071	preprotein_translocase_subunit_SecB_
s67	Ea_00104	K00057	glycerol-3-phosphate_dehydrogenase_(NAD(P)+)_[EC:1.1.1.94]_
s68	Ea_00105	K00640	serine_O-acetyltransferase_[EC:2.3.1.30]
s69	Ea_00106	K03216	tRNA_(cytidine/uridine-2'-O-)-methyltransferase_[EC:2.1.1.207]
s70	Ea_00107	K07640	two-component_system,_OmpR_family,_sensor_histidine_kinase_CpxA_[EC:2.7.13.3]
s71	Ea_00108	K07662	two-component_system,_OmpR_family,_response_regulator_CpxR
s72	Ea_00108	K02483	two-component_system,_OmpR_family,_response_regulator
s73	Ea_00109	K06006	periplasmic_protein_CpxP/Spy
s74	Ea_00110	K13283	ferrous-iron_efflux_pump_FieF_
s75	Ea_00111	K00850	6-phosphofructokinase_1_[EC:2.7.1.11]
s76	Ea_00112	K23163	sulfate/thiosulfate_transport_system_substrate-binding_protein
s77	Ea_00113	K01521	CDP-diacylglycerol_pyrophosphatase_[EC:3.6.1.26]
s78	Ea_00114	K07058	membrane_protein
s79	Ea_00116	K06998	trans-2,3-dihydro-3-hydroxyanthranilate_isomerase_[EC:5.3.3.17]
s80	Ea_00119	K00116	malate_dehydrogenase_(quinone)_[EC:1.1.5.4]_
s81	Ea_00121	K01803	triosephosphate_isomerase_(TIM)_[EC:5.3.1.1]_
s82	Ea_00124	K00528	ferredoxin/flavodoxin---NADP+_reductase_[EC:1.18.1.2_1.19.1.1]_
s83	Ea_00125	K08154	MFS_transporter,_DHA1_family,_2-module_integral_membrane_pump_EmrD
s84	Ea_00126	K02446	fructose-1,6-bisphosphatase_II_[EC:3.1.3.11]
s85	Ea_00127	K03325	arsenite_transporter
s86	Ea_00128	K00864	glycerol_kinase_[EC:2.7.1.30]
s87	Ea_00129	K02440	glycerol_uptake_facilitator_protein_
s88	Ea_00130	K09892	cell_division_protein_ZapB_
s89	Ea_00131	K02553	regulator_of_ribonuclease_activity_A
s90	Ea_00132	K03667	ATP-dependent_HslUV_protease_ATP-binding_subunit_HslU
s91	Ea_00133	K01419	ATP-dependent_HslUV_protease,_peptidase_subunit_HslV_[EC:3.4.25.2]
s92	Ea_00134	K03591	cell_division_protein_FtsN_
s93	Ea_00135	K05499	LacI_family_transcriptional_regulator,_repressor_for_deo_operon,_udp,_cdd,_tsx,_nupC,_and_nupG_
s94	Ea_00135	K02529	LacI_family_transcriptional_regulator_
s95	Ea_00136	K04066	primosomal_protein_N'_(replication_factor_Y)_(superfamily_II_helicase)_[EC:3.6.4.-]
s96	Ea_00137	K02909	large_subunit_ribosomal_protein_L31
s97	Ea_00138	K03764	MetJ_family_transcriptional_regulator,_methionine_regulon_repressor
s98	Ea_00139	K01739	cystathionine_gamma-synthase_[EC:2.5.1.48]
s99	Ea_00140	K12525	bifunctional_aspartokinase_/_homoserine_dehydrogenase_2_[EC:2.7.2.4_1.1.1.3]_
s100	Ea_00141	K00297	methylenetetrahydrofolate_reductase_(NADH)_[EC:1.5.1.54]_
s101	Ea_00142	K01595	phosphoenolpyruvate_carboxylase_[EC:4.1.1.31]
s102	Ea_00143	K01438	acetylornithine_deacetylase_[EC:3.5.1.16]
s103	Ea_00144	K00930	acetylglutamate_kinase_[EC:2.7.2.8]
s104	Ea_00145	K01940	argininosuccinate_synthase_[EC:6.3.4.5]
s105	Ea_00146	K01755	argininosuccinate_lyase_[EC:4.3.2.1]
s106	Ea_00147	K24136	glutathione-dependent_peroxiredoxin_[EC:1.11.1.27]
